"Deck, Trial",color,number,C,DI-1,DR-1,DI-2,DR-2,DI-3,DR-3,EI-1,ER-1,EC-1
"white, 113",white,113,1,1,1,1,0,1,1,0,0,0.3333333333333333
"black, 113",black,113,0,0,0,0,0,0,0,0,0,0.3333333333333333
"red, 114",red,114,0,0,0,0,0,0,0,1,0,0.06666666666666667
"white, 114",white,114,1,1,0,1,1,1,0,0,0,0.3333333333333333
"black, 114",black,114,0,0,0,0,0,0,0,0,0,0.3333333333333333
"red, 115",red,115,0,0,0,0,0,0,0,0,0,0.0
"white, 115",white,115,1,1,0,1,0,1,1,0,0,0.0
"black, 115",black,115,0,0,0,0,0,0,0,0,0,0.0
"red, 116",red,116,0,0,0,0,0,0,0,0,0,-0.3333333333333333
"white, 116",white,116,1,1,1,1,0,1,0,1,0,-0.5384615384615384
"black, 116",black,116,0,0,0,0,0,0,0,0,0,0.6666666666666666
"red, 117",red,117,1,0,0,0,0,0,0,0,0,0.0
"white, 117",white,117,0,1,1,1,1,1,0,0,0,0.0
"black, 117",black,117,0,0,0,0,0,0,0,0,0,0.0
"red, 118",red,118,0,1,0,0,0,0,0,0,0,0.0
"white, 118",white,118,0,0,0,1,1,1,1,0,0,0.0
"black, 118",black,118,1,0,0,0,0,0,0,0,0,0.0
"red, 119",red,119,0,0,0,1,0,0,0,0,0,0.0
"white, 119",white,119,0,0,0,0,0,1,1,0,0,0.0
"black, 119",black,119,1,1,0,0,0,0,0,0,0,0.0
"red, 120",red,120,0,0,0,0,0,1,0,1,0,0.0
"white, 120",white,120,1,0,0,0,0,0,0,0,0,-1.0
"black, 120",black,120,0,1,0,1,0,0,0,0,0,-0.6
"red, 121",red,121,0,0,0,0,0,0,0,0,0,0.0
"white, 121",white,121,1,1,0,0,0,0,0,0,0,0.0
"black, 121",black,121,0,0,0,1,0,1,0,0,0,0.0
"red, 122",red,122,0,0,0,0,0,0,0,0,0,0.0
"white, 122",white,122,1,1,1,1,0,0,0,0,0,0.0
"black, 122",black,122,0,0,0,0,0,1,0,0,0,0.0
"red, 123",red,123,0,0,0,0,0,0,0,0,0,0.0
"white, 123",white,123,1,1,1,1,1,1,0,0,0,0.0
"black, 123",black,123,0,0,0,0,0,0,0,0,0,0.0
"red, 124",red,124,0,0,0,0,0,0,0,0,0,0.0
"white, 124",white,124,1,1,1,1,1,1,1,1,1,-1.0
"black, 124",black,124,0,0,0,0,0,0,0,0,0,-0.6
"red, 125",red,125,0,0,0,0,0,0,0,0,0,0.0
